image,roi,density,determinant,mean_eigen,min_eigen,max_eigen,mean_distance,variance_mean,range_mean
CASE 2 (131).JPG,3,27,0.7884706269205422,4.575310792001475,0.039868993834835595,12.044045615864945,2.844545315388526,4.405854836742162,6.6067094729957105
CASE 2 (132).JPG,1,254,115.40391262311591,18.408434544940242,1.23716865954049,52.20118982784568,6.371437306023524,18.335960393188504,14.841226226156254
CASE 2 (132).JPG,2,111,77.78219420922407,14.16204087789282,0.9271038764864808,39.43131825137148,5.269985942510712,14.03445492403793,13.70978577375179
CASE 2 (132).JPG,3,27,0.2647687077606894,2.6421545772064623,0.025394227084451704,6.226581820679542,2.1593443767057194,2.5442970002728877,6.5091715984964695
CASE 2 (133).JPG,1,206,92.16054481414535,17.279434717846453,1.136302084339963,49.04841821174669,6.163089651368641,17.195553966788935,13.32300658455506
CASE 2 (133).JPG,2,128,6.475272301504612,8.001751714287163,0.13247994754935982,21.611095457945336,4.290227453516552,7.939238029019296,10.716538671577176
CASE 2 (133).JPG,3,41,0.009234387928550794,1.1199022893641308,0.004095856079077134,2.426446178807437,1.4169091143144728,1.0925875993796392,4.207737177961289
CASE 2 (134).JPG,1,72,11.833484676140626,6.439747502344705,0.42884843962287666,17.294917930327113,3.49830947552077,6.350306564812143,9.78296727392396
CASE 2 (134).JPG,2,102,31.456682222393855,13.191791528828736,0.35450102433369446,36.81026629534524,5.22405863021749,13.062460239330415,12.692793329440478
CASE 2 (134).JPG,3,36,0.8192055419113894,2.677676944050565,0.1509477811056762,7.1198352033875025,1.9531912419983746,2.603297028938049,5.783037857511222
CASE 2 (135).JPG,1,21,1.0580546909525936,6.142570315460706,0.10124895561787267,17.73730654964796,3.7901348731561044,5.85006696710543,6.9057808822082505
CASE 2 (135).JPG,2,94,18.556550737362784,16.123497590089894,0.36203449667476006,46.91594472125265,6.012417507350414,15.95197101998255,12.83930369948308
CASE 2 (135).JPG,3,67,12.081571651173919,11.89582243343282,0.1567399519436429,33.20970853580616,4.607188691163348,11.718272844874107,13.336607191273913
CASE 2 (136).JPG,1,6,0.4765361632044643,29.133813637351405,0.009335923105775041,86.8040763509293,6.404872138835423,24.27817803112617,11.903344471151017
CASE 2 (136).JPG,2,152,64.65833362375493,20.221512191630154,0.5342240941623863,58.04517392095936,7.2237308808802645,20.088475927211526,13.876663942448152
CASE 2 (136).JPG,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE 2 (137).JPG,1,320,56.808961430346734,21.860214125769517,0.790902515157228,63.66145877864383,7.241046025843962,21.791900956626503,14.178303249354357
CASE 2 (137).JPG,2,277,148.77317857284905,9.428145780683776,1.9488309490929363,23.01926687577739,4.109096364351482,9.394109153316693,14.735471355946752
CASE 2 (137).JPG,3,35,49.36075601741326,13.423530276932297,0.6220966808373265,37.534554147199344,5.59104678484653,13.040000840448515,9.395290277869298
CASE 2 (138).JPG,1,45,2.379923236887614,12.571706457091055,0.1415111714784062,37.12054595960785,4.140740941968406,12.292335202489033,9.622348826961284
CASE 2 (138).JPG,2,164,176.53385935334657,17.1833172061733,1.4586970647115516,47.54589041143948,6.328434999328135,17.0785408817454,13.856937040452332
CASE 2 (138).JPG,3,40,214.2466454567101,13.592104335416492,1.2565255151002455,34.59047708912447,5.477497796559355,13.252301727031073,10.765637995300574
CASE 2 (139).JPG,1,45,3.6773987036243043,12.544360251729502,0.21921506149054482,36.95998835126696,4.184304500550592,12.265596690579967,9.433564805334484
CASE 2 (139).JPG,2,164,195.0150384962947,16.953678598113296,1.5070148733363657,46.57564037289246,6.299353662687313,16.850302509100406,13.477079786569552
CASE 2 (139).JPG,3,40,208.40289636817576,13.271185383827776,1.2787998610334042,33.69874322343359,5.424366834540232,12.939405749232082,10.684580684803045
CASE 2 (14).JPG,1,55,620.7570208007492,21.38311775234253,1.483900990385317,55.069026133058415,6.0813163303309095,20.994333793209034,14.68777419015025
CASE 2 (14).JPG,2,168,358.174162733171,18.53103795768346,1.2618864897266875,48.47594753055834,5.577371772047862,18.420734160316275,14.079425478887565
CASE 2 (14).JPG,3,44,410.39037259437816,16.277498486216025,1.664735960738989,41.181595115315794,5.791650009881808,15.90755533880202,13.839056570667049
CASE 2 (140).JPG,1,116,12.640414194107041,24.848474518317456,0.21323571263565408,73.52595461804287,7.732747494271813,24.63426353109058,11.11293322707663
CASE 2 (140).JPG,2,242,488.02981472681853,22.640082538774568,1.6016879349499589,61.35219825112165,6.90790029947928,22.546528478696985,14.551220980370315
CASE 2 (140).JPG,3,28,0.019307632615032832,3.605493567939257,0.013431312214908536,10.668303598296102,2.6488407499597235,3.4767259405128534,3.9699617340653153
CASE 2 (141).JPG,1,72,253.29873006279306,28.243460473493695,0.4974433766291808,77.67762524222577,8.396524383785245,27.85119018913961,13.79210583636827
CASE 2 (141).JPG,2,229,12.47229484866274,4.958645799696044,0.5535801119536633,12.52328977921055,3.2443668877816916,4.936992324588201,10.286527834602822
CASE 2 (141).JPG,3,15,5.16512115975673,7.364321568201697,0.11210932245034226,19.634345689856097,3.1758486832470907,6.8733667969882495,8.730803144408029
CASE 2 (142).JPG,1,72,59.30321006082853,10.20482418079887,0.5852056445584194,26.154733628020637,4.128866681761346,10.063090511621114,13.524727893959792
CASE 2 (142).JPG,2,229,9.086214556301426,5.5491980356078585,0.3550121054914381,14.531270189709733,3.4583631416053846,5.52496572977551,8.943472331003832
CASE 2 (142).JPG,3,15,0.6462771620586668,4.278660840100969,0.0350000535620932,11.144039959084978,2.3519730890909796,3.9934167840942365,7.392521712180322
CASE 2 (143).JPG,1,31,0.32524809114298675,6.007101881192079,0.022211881419188673,17.145028208568167,3.419368122040384,5.813324401153629,6.11366808078872
CASE 2 (143).JPG,2,44,16.034086263818818,5.926956293133308,0.41696909336418864,14.758326911880456,3.591479080044991,5.792252741016643,9.026806022467362
CASE 2 (143).JPG,3,49,9.351057863874505,12.92059728743886,0.14345751623774206,36.84942010126979,4.736256656404948,12.656911628511537,12.179940856664922
CASE 2 (144).JPG,1,29,1.5829803207269717,9.841613043621111,0.02549709752130558,27.218354540318447,4.1757264595044346,9.50224707659969,8.424761361803677
CASE 2 (144).JPG,2,35,83.14922937447848,8.8423250375352,1.5965537652429944,22.628922243869845,4.0136964925763055,8.589687179319911,11.430892047917636
CASE 2 (144).JPG,3,68,9.270622688849528,14.076588565570544,0.12260979468579916,40.22758015839911,5.938313347213539,13.869579910194503,9.82601914514112
CASE 2 (15).JPG,1,125,80.16920501217739,13.056142083008,0.730978634392604,35.333485491970954,5.151588528770372,12.951692946343934,13.97658051174909
CASE 2 (15).JPG,2,181,200.0851856407309,12.114304037907388,1.481461398071836,30.42190911017891,4.8030635768975,12.047374181344374,13.4311868079021
CASE 2 (15).JPG,3,38,240.47055995224304,13.48559304859225,1.822771104156433,34.84828958486578,5.414363848459717,13.130709020997712,13.088940469748714
CASE 2 (16).JPG,1,198,138.02268328184067,17.693121394724603,0.7185929832460918,48.39162309020513,5.731936374617746,17.603762195761355,14.07089897601869
CASE 2 (16).JPG,2,243,866.8649589137298,35.628839244559124,1.545299103551727,99.7155244797153,8.955313375025458,35.482218506927225,14.624075980948719
CASE 2 (16).JPG,3,47,122.81318030571586,7.725078312856863,1.8432099527593644,17.531416167847475,3.8060675147098224,7.560714944498206,12.75412090203379
CASE 2 (17).JPG,1,66,44.3062212023796,7.633416412999716,1.3168514093409303,19.89198416995692,3.6370403133202593,7.517758588560327,12.75667453923532
CASE 2 (17).JPG,2,108,249.3889245742935,17.69264581287665,2.203621906167581,48.542930011522934,6.253204503330447,17.528825018312972,14.55098953847576
CASE 2 (17).JPG,3,56,89.27501554189939,14.209765438505228,1.2096868091392368,39.55379335043947,5.827471504025228,13.956019627103345,11.600738042089995
CASE 2 (18).JPG,1,66,1.5468973360895741,9.369174169811552,0.03855552821744302,26.558278516247675,3.9729275577229424,9.227216985420474,13.052975351993934
CASE 2 (18).JPG,2,108,58.627892465055446,25.17899429023284,0.3640782301100211,72.96597136498825,7.942700303399147,24.94585545421219,14.033258590184566
CASE 2 (18).JPG,3,56,19.250313247952192,27.77736433068723,0.147991366503841,81.58981848450047,8.40952768763811,27.28133996763923,13.292392029184029
CASE 2 (19).JPG,1,249,22.735917364056352,10.135269761964633,0.48534617531194063,28.2630051054091,5.1830864763481985,10.094565867338275,10.594272256062833
CASE 2 (19).JPG,2,473,525.8830079726051,29.266146056592092,1.7480066113397397,82.3993434265937,8.503515060432052,29.20427259769869,14.495539606728363
CASE 2 (19).JPG,3,134,62.06961952337509,10.551708774134328,1.021980531412351,28.50227596355337,4.552228303621267,10.47296467880496,14.309611892003455
CASE 2 (2).JPG,1,204,6.214207203492438,14.939824373131435,0.20083667575240888,43.91404187010958,4.838792692491424,14.866589939929808,12.53680930372929
CASE 2 (2).JPG,2,152,311.72860230932696,18.85718171341959,1.6347457745093597,51.21337042041485,5.8309895892979675,18.733121307410276,14.470186613152634
CASE 2 (2).JPG,3,47,6.566599655120357,3.1203176544580558,0.3817457735876054,6.208626906132174,2.4377614171165414,3.053927917129162,9.19738584897724
CASE 2 (20).JPG,1,162,172.89032121244108,25.708470265209794,0.966472985433052,73.73277245058756,7.789214810870542,25.549776004313404,14.096702754037425
CASE 2 (20).JPG,2,167,213.1245610913252,25.9965673881869,1.355826984481555,74.52461833010918,8.370001493636726,25.84089931999419,14.157715961607886
CASE 2 (20).JPG,3,201,386.96843378871114,18.24068366948193,2.6497989898152197,49.097846590817134,6.928246431647777,18.1499339994845,14.408975712252873
CASE 2 (21).JPG,1,162,170.0023765143116,25.01747020076883,0.8581184465861582,71.4204272184383,7.689889405224283,24.86304137236901,14.28663681619309
CASE 2 (21).JPG,2,167,336.25969655669945,26.638746186761292,1.3997189184332022,75.32732183103016,8.446095354082471,26.47923273654118,14.371433175603677
CASE 2 (21).JPG,3,201,132.13673944661636,15.578649752453806,1.1374582085844125,42.8899688050656,6.339633280213104,15.50114403229235,14.199293846343565
CASE 2 (22).JPG,1,330,49.57280129715008,24.164612150888924,0.7578829162881151,70.81224926042498,7.529681286614615,24.091386053461992,14.599188126976626
CASE 2 (22).JPG,2,268,507.54024748941987,34.572887019087084,1.7521658828934097,99.04182682618945,9.49613154701264,34.443883709314385,14.763912790037535
CASE 2 (22).JPG,3,73,187.63557307435823,24.460564609312385,0.923576634811169,69.53645715214587,7.586670095846847,24.125488381787548,14.51800563884067
CASE 2 (23).JPG,1,47,124.35054358546965,11.00869985799824,1.4200671672029843,28.537562043757568,4.295914570757563,10.774472201445088,12.231603815925054
CASE 2 (23).JPG,2,186,258.7772488305399,30.51777974171127,1.1687715624344117,87.86467436517702,8.866098980329173,30.353705657078432,14.867324192971898
CASE 2 (23).JPG,3,50,10.099207235935184,7.3676462009475605,0.4539824148200401,20.5673480244951,4.314353659495889,7.220293276928605,8.525159797123022
CASE 2 (24).JPG,1,47,142.85655782223483,11.5882611091751,1.454738459748239,30.041168972287807,4.39522759573652,11.341702362171374,12.671043535270213
CASE 2 (24).JPG,2,186,374.65458427920646,29.67571144635751,1.1930856232199984,84.10014878664411,8.73593586479495,29.51616461062442,14.773354106555788
CASE 2 (24).JPG,3,50,20.192641634496823,8.66822108312362,0.6877281512667528,24.098547502632933,4.675558133979385,8.494856661461148,9.16454419042996
